age_AD	d2HiceVSMOW	d2HiceVSMOW11
1416.5		-151.76
1415.5		-153.92
1414.5		-155.02
1413.5		-156.07
1412.5		-156.50
1411.5		-155.75
1410.5		-154.55
1409.5		-154.04
1408.5		-152.68
1407.5		-152.38
1406.5		-151.81
1405.5		-149.92
1404.5		-147.98
1403.5		-145.77
1402.5		-146.83
1401.5		-147.91
1400.5		-148.80
1399.5		-150.02
1398.5		-150.63
1397.5		-152.04
1396.5		-151.87
1395.5		-151.24
1394.5		-151.48
1393.5		-152.82
1392.5		-154.64
1391.5		-154.24
1390.5		-153.08
1389.5		-154.39
1388.5		-154.29
1387.5		-155.42
1386.5		-156.04
1385.5		-156.86
1384.5		-157.69
1383.5		-157.69
1382.5		-157.06
1381.5		-156.43
1380.5		-156.95
1379.5		-157.69
1378.5		-156.44
1377.5		-158.07
1376.5		-156.97
1375.5		-156.42
1374.5		-156.99
1373.5		-157.09
1372.5		-157.84
1371.5		-156.15
1370.5		-154.87
1369.5		-154.22
1368.5		-155.43
1367.5		-155.91
1366.5		-154.86
1365.5		-155.28
1364.5		-153.65
1363.5		-152.30
1362.5		-151.53
1361.5		-150.95
1360.5		-152.45
1359.5		-154.12
1358.5		-154.22
1357.5		-154.09
1356.5		-153.01
1355.5		-152.69
1354.5		-150.96
1353.5		-151.32
1352.5		-152.31
1351.5		-151.67
1350.5		-151.00
1349.5		-149.68
1348.5		-148.36
1347.5		-148.77
1346.5		-147.49
1345.5		-148.40
1344.5		-147.69
1343.5		-149.55
1342.5		-149.69
1341.5		-148.66
1340.5		-148.27
1339.5		-148.31
1338.5		-148.65
1337.5		-149.55
1336.5		-150.52
1335.5		-151.37
1334.5		-153.10
1333.5		-153.72
1332.5		-153.37
1331.5		-152.82
1330.5		-154.02
1329.5		-153.79
1328.5		-154.40
1327.5		-155.23
1326.5		-152.62
1325.5		-151.24
1324.5		-150.31
1323.5		-148.62
1322.5		-146.54
1321.5		-144.29
1320.5		-144.69
1319.5		-144.01
1318.5		-144.95
1317.5		-145.68
1316.5		-144.57
1315.5		-148.80
1314.5		-150.11
1313.5		-150.21
1312.5		-149.06
1311.5		-151.10
1310.5		-152.77
1309.5		-153.98
1308.5		-153.96
1307.5		-154.81
1306.5		-153.98
1305.5		-155.95
1304.5		-154.86
1303.5		-153.36
1302.5		-152.60
1301.5		-154.83
1300.5		-153.14
1299.5		-152.18
1298.5		-149.78
1297.5		-148.66
1296.5		-149.02
1295.5		-149.75
1294.5		-148.37
1293.5		-148.02
1292.5		-149.36
1291.5		-150.09
1290.5		-149.06
1289.5		-150.84
1288.5		-152.91
1287.5		-155.76
1286.5		-157.02
1285.5		-156.53
1284.5		-155.22
1283.5		-153.66
1282.5		-153.64
1281.5		-152.59
1280.5		-151.01
1279.5		-149.34
1278.5		-148.95
1277.5		-148.68
1276.5		-147.36
1275.5		-147.39
1274.5		-147.27
1273.5		-147.59
1272.5		-149.45
1271.5		-149.12
1270.5		-150.42
1269.5		-150.63
1268.5		-152.97
1267.5		-153.07
1266.5		-152.69
1265.5		-152.15
1264.5		-152.28
1263.5		-153.15
1262.5		-153.54
1261.5		-153.25
1260.5		-152.49
1259.5		-150.72
1258.5		-151.06
1257.5		-148.58
1256.5		-147.51
1255.5		-147.37
1254.5		-147.14
1253.5		-147.66
1252.5		-147.75
1251.5		-148.21
1250.5		-148.23
1249.5		-148.95
1248.5		-150.01
1247.5		-149.85
1246.5		-150.88
1245.5		-151.94
1244.5		-151.93
1243.5		-151.90
1242.5		-151.63
1241.5		-150.66
1240.5		-151.29
1239.5		-151.40
1238.5		-152.38
1237.5		-151.35
1236.5		-152.62
1235.5		-153.18
1234.5		-153.07
1233.5		-153.33
1232.5		-155.16
1231.5		-154.78
1230.5		-154.97
1229.5		-153.67
1228.5		-153.04
1227.5		-152.24
1226.5		-152.68
1225.5		-152.36
1224.5		-153.42
1223.5		-154.89
1222.5		-154.45
1221.5		-153.17
1220.5		-152.41
1219.5		-151.87
1218.5		-152.52
1217.5		-152.98
1216.5		-152.16
1215.5		-153.02
1214.5		-153.20
1213.5		-151.59
1212.5		-149.89
1211.5		-151.26
1210.5		-150.95
1209.5		-151.64
1208.5		-152.08
1207.5		-153.38
1206.5		-154.56
1205.5		-154.42
1204.5		-153.75
1203.5		-153.67
1202.5		-154.66
1201.5		-155.75
1200.5		-154.67
1199.5		-155.16
1198.5		-155.27
1197.5		-155.59
1196.5		-154.88
1195.5		-155.67
1194.5		-156.64
1193.5		-156.93
1192.5		-156.76
1191.5		-156.17
1190.5		-154.99
1189.5		-154.53
1188.5		-154.76
1187.5		-155.82
1186.5		-155.79
1185.5		-155.06
1184.5		-153.96
1183.5		-153.55
1182.5		-153.24
1181.5		-153.56
1180.5		-154.14
1179.5		-154.27
1178.5		-154.48
1177.5		-153.93
1176.5		-152.56
1175.5		-151.61
1174.5		-151.98
1173.5		-151.75
1172.5		-151.47
1171.5		-151.73
1170.5		-151.07
1169.5		-150.83
1168.5		-151.02
1167.5		-150.97
1166.5		-151.47
1165.5		-151.71
1164.5		-152.99
1163.5		-153.41
1162.5		-152.78
1161.5		-154.35
1160.5		-154.56
1159.5		-155.56
1158.5		-155.41
1157.5		-155.36
1156.5		-155.16
1155.5		-156.23
1154.5		-156.33
1153.5		-155.38
1152.5		-153.40
1151.5		-155.20
1150.5		-153.88
1149.5		-153.63
1148.5		-152.96
1147.5		-152.44
1146.5		-152.48
1145.5		-151.11
1144.5		-149.21
1143.5		-148.20
1142.5		-148.35
1141.5		-149.11
1140.5		-148.48
1139.5		-149.08
1138.5		-149.76
1137.5		-150.53
1136.5		-151.01
1135.5		-149.90
1134.5		-151.78
1133.5		-151.32
1132.5		-151.48
1131.5		-151.42
1130.5		-152.14
1129.5		-151.71
1128.5		-150.85
1127.5		-149.90
1126.5		-148.46
1125.5		-147.60
1124.5		-148.94
1123.5		-148.12
1122.5		-148.94
1121.5		-149.87
1120.5		-147.82
1119.5		-147.33
1118.5		-148.13
1117.5		-150.34
1116.5		-150.12
1115.5		-150.62
1114.5		-152.94
1113.5		-152.62
1112.5		-153.65
1111.5		-154.66
1110.5		-155.72
1109.5		-156.74
1108.5		-157.55
1107.5		-154.79
1106.5		-151.08
1105.5		-151.19
1104.5		-150.67
1103.5		-149.77
1102.5		-150.12
1101.5		-149.69
1100.5		-148.50
1099.5		-148.44
1098.5		-149.97
1097.5		-148.75
1096.5		-149.08
1095.5		-150.37
1094.5		-150.31
1093.5		-150.81
1092.5		-150.59
1091.5		-150.59
1090.5		-152.16
1089.5		-151.67
1088.5		-150.44
1087.5		-149.08
1086.5		-148.67
1085.5		-148.89
1084.5		-149.22
1083.5		-147.93
1082.5		-146.59
1081.5		-145.38
1080.5		-146.60
